ID,WT,N_mass,N_perc,d15N,C_mass,C_perc,d13C,C:N
SA551,2.73,58.32623142,2.136491993,3.190315779,1188.38406,43.53055165,-29.59694308,20.37477874
SA555,2.84,48.44458835,1.705795364,1.737873445,1218.81877,42.91615389,-32.50986598,25.15902831
SA560,2.31,35.218409,1.52460645,3.923187142,1041.597891,45.09081781,-30.06599603,29.57538176
SA562,2.12,29.51779414,1.39234878,1.917029699,937.6013254,44.22647761,-31.03518887,31.76393605
SA563,2.5,38.49451699,1.539780679,3.383927446,1039.418478,41.57673911,-30.33502456,27.00172802
SA564,2.24,51.50222798,2.299206606,2.885292506,959.1057724,42.81722198,-30.67423982,18.62260741
SA568,2.84,47.37213644,1.668032973,1.34894135,1176.066762,41.4108015,-31.19025447,24.82612883
SA569,2.19,36.7568495,1.678394954,2.923126426,888.4771145,40.56973126,-30.84353374,24.17174286
SA570,2.9,53.14385464,1.832546712,2.693436317,1245.731052,42.95624317,-31.5434685,23.44073572
SA573,2.12,30.99096184,1.461837823,5.230003675,752.5737722,35.49876284,-30.9730626,24.28365328
SA515,2.41,40.38766162,1.675836582,5.115644978,1023.537174,42.47042217,-30.43574885,25.3428184
SA520,3.07,35.24588708,1.148074498,3.60419973,1253.619867,40.83452337,-29.78385226,35.56783417
SA524,1.28,15.03081107,1.174282115,2.070977673,550.5393013,43.01088291,-29.65490679,36.62738483
SA530,2.85,32.61487544,1.144381594,3.438610731,1205.738104,42.30660016,-31.39397653,36.96896241
SA532,2.5,46.60074926,1.86402997,8.76700529,1070.319646,42.81278585,-29.97155993,22.96786346
SA534,3.33,55.28872288,1.660322008,1.788533291,1399.989659,42.04173151,-29.90883383,25.3214324
SA535,2.37,34.7887481,1.467879667,5.283598556,1016.993669,42.91112528,-30.94391883,29.23340806
SA539,2.43,26.4457215,1.088301296,3.327322676,965.5854949,39.73602859,-30.00245978,36.51197397
SA542,2.26,70.06311764,3.100137949,3.890239609,954.9621193,42.25496103,-29.08229419,13.63002606
SA543,2.92,36.72852126,1.25782607,4.034241439,1188.682928,40.70831945,-30.17069577,32.36402902
AC551,2.93,113.5387757,3.875043538,-3.202320722,1143.342487,39.02192787,-29.32643898,10.07006179
AC553,2.21,56.16504399,2.541404706,-2.618517722,808.8136434,36.59790242,-29.29762519,14.40065895
AC555,2.68,33.33517371,1.243849765,-3.949124732,467.2026511,17.43293474,-28.6513057,14.01530573
AC558,3.17,85.06786724,2.683528935,-2.719002132,1324.075198,41.76893369,-29.35545726,15.56492764
AC559,3.03,75.51276218,2.492170369,-2.969705452,1150.72725,37.97779702,-28.1161386,15.23884462
AC561,2.81,107.4049114,3.822238841,-3.291993848,1079.624844,38.42081297,-29.73411244,10.05191318
AC565,3.5,123.0856322,3.516732348,-0.637286921,1298.668325,37.10480929,-28.67645764,10.55093354
AC570,2.77,92.60828984,3.343259561,-2.708652015,1036.723605,37.42684494,-28.20450319,11.19471709
AC571,2.92,78.87289403,2.701126508,-3.002159379,1075.381771,36.82814285,-29.09865754,13.63436431
AC572,2.8,50.16019112,1.791435397,-2.994195378,940.5462672,33.59093812,-29.28023822,18.75085095
AC573,3.09,90.43807881,2.926798667,-2.936351537,1131.333034,36.61271954,-27.694109,12.50947664
AC574,2.23,62.83410806,2.817673007,-3.352877371,806.4525334,36.16379073,-29.42716867,12.83463008
UR546,2.76,48.62546366,1.761792161,4.97634277,1135.59973,41.14491776,-31.64204887,23.3540134
UR548,3.23,53.12442741,1.644719115,5.052541494,1340.876998,41.51321977,-30.25942425,25.24030965
UR547,2.38,66.74544654,2.804430527,3.314308638,965.6162726,40.57211229,-31.29513061,14.46714829
UR549,2.56,51.435069,2.009182383,4.44575252,1079.323884,42.16108923,-30.42884758,20.98420212
UR554,4.15,108.4462236,2.613162015,5.184436968,1738.149329,41.88311635,-31.86387142,16.0277534
UR561,3.25,70.17358357,2.159187187,4.389775877,1345.528214,41.40086812,-30.07367905,19.1742839
UR566,3.16,50.54009173,1.599369992,4.710719545,1247.548017,39.47936763,-31.67351785,24.68432435
UR567,2.18,36.18256982,1.659750909,4.530185171,873.6130281,40.07399212,-31.25542125,24.14458211
UR568,2.12,57.94219466,2.73312239,3.685609628,880.5497593,41.535366,-31.47050224,15.19703844
UR572,2.45,59.16796076,2.415018806,4.500272208,1006.936442,41.0994466,-30.99817681,17.01827187
UR576,2.43,47.0450132,1.936008774,4.112710392,993.0376687,40.86574768,-30.97971138,21.10824509
UR578,2.63,47.7774352,1.816632517,4.359638165,1039.330599,39.51827374,-31.67627349,21.75358712
SA577,2.6,43.7025529,1.680867419,0.960899012,1072.358805,41.24456943,-31.03748814,24.53766963
SA581,1.17,19.50651692,1.667223668,1.826344993,492.6479961,42.10666633,-30.62733171,25.25555937
SA586,3.51,63.0638223,1.796690094,3.881543962,1412.912657,40.25392185,-30.4718012,22.40448811
SA591,2.73,71.59541325,2.62254261,1.897591937,1116.085576,40.88225553,-29.96572694,15.588786
SA595,2,35.14190612,1.757095306,6.068632146,869.3579408,43.46789704,-29.74147131,24.73849705
SA597,2.61,40.2165375,1.540863506,3.024192313,1063.902559,40.76255016,-31.53053035,26.45435498
SA600,3.38,37.76826757,1.117404366,1.70784873,1357.552583,40.16427761,-30.49783005,35.94426407
SA613,3.52,79.16484422,2.249001256,2.86763372,1501.413451,42.65379122,-29.93743846,18.96565914
UR583,3.52,78.89978293,2.241471106,3.74705181,1270.224852,36.0859333,-30.93588637,16.09921859
UR585,3.45,90.3559174,2.619012099,4.722828184,1246.89966,36.14201914,-30.2168279,13.79986719
UR589,3.27,81.97073257,2.506750231,2.695701604,1559.326186,47.68581608,-30.82259498,19.02296267
UR590,2.75,102.4781453,3.72647801,4.902110961,1169.850878,42.54003193,-31.22889413,11.4156133
UR594,2.56,33.11127617,1.293409225,4.905950698,470.2369226,18.36862979,-31.96216136,14.20171546
UR598,2.59,79.26592275,3.060460338,5.394590158,1494.279094,57.69417353,-31.00389305,18.85146911
UR599,2.95,59.18456999,2.00625661,7.962170511,1199.60863,40.66469932,-31.59829693,20.26894223
UR601,2.65,78.38323282,2.957857842,6.264415273,1113.563503,42.02126428,-30.86208936,14.20665445
UR606,2.74,80.167125,2.925807482,7.135907058,1163.685219,42.47026346,-31.16679817,14.51574095
UR607,2.2,47.68640569,2.167563895,5.601579983,959.2857327,43.60389694,-31.17229491,20.11654514
UR608,2.12,70.28150321,3.315165246,8.029547976,902.8647237,42.58795866,-31.6289351,12.84640599
UR611,2.61,86.54675207,3.315967512,4.573939564,1138.124996,43.60632169,-32.065892,13.15040679
AC577,2.97,120.9877784,4.073662571,-2.050145909,1219.44279,41.0586798,-28.69295652,10.07905762
AC578,2.15,67.94981907,3.160456701,-2.136895353,828.6641925,38.54252058,-29.41129104,12.19523766
AC582,2.08,69.87505537,3.359377662,-1.515893485,808.0375293,38.84795814,-29.80648569,11.56403419
AC587,2.9,102.5897172,3.537576456,-1.558133093,1130.740304,38.99104497,-29.57875873,11.02196531
AC590,2.72,88.11748268,3.239613334,-1.784340953,1067.218269,39.23596579,-28.56122005,12.11131136
AC591,2.2,77.84632105,3.538469139,-1.786511228,918.951338,41.77051536,-29.06365794,11.80468551
AC595,2.63,93.91929175,3.571075732,-1.755551489,1114.793233,42.3875754,-29.37607475,11.86969378
AC601,3.33,112.4825269,3.377853661,-1.320447944,1335.355871,40.1007769,-29.05843365,11.87167383
AC602,3.37,105.2810295,3.124066158,-1.984584219,1299.859833,38.57150838,-29.64655298,12.3465722
AC603,3.1,79.82252418,2.574920135,-2.085840549,1123.36498,36.23757999,-30.98256118,14.07328309
AC604,3,70.47527304,2.349175768,-2.414556918,1045.728395,34.85761315,-28.81456304,14.83823119
PL543,3.12,34.12268546,1.093675816,6.674796691,1286.664214,41.23923762,-32.23596908,37.70700331
PL546,3.88,35.20062338,0.907232561,4.687948751,1698.225186,43.76869035,-32.90343367,48.24417929
PL553,3.57,28.16109743,0.788826258,3.77126127,1430.98903,40.08372633,-32.2688683,50.81439151
PL554,3.63,40.78237395,1.123481376,3.010400194,1543.64536,42.52466557,-33.50023978,37.85079707
PL556,2.37,41.70812854,1.759836647,2.543795815,1029.650107,43.4451522,-32.73364061,24.68703687
PL557,3.83,47.41781867,1.238063151,4.012186908,1580.74514,41.27271906,-33.5431986,33.33652168
PL558,3.59,56.47865649,1.573221629,7.714744914,1476.684843,41.13328253,-33.53264558,26.14589182
PL565,3.24,83.90312407,2.589602595,3.392145315,1419.662223,43.81673527,-33.6575881,16.92025462
PL567,3.1,25.77111309,0.831326229,3.861046125,1285.840138,41.47871413,-32.66345406,49.89462945
PL569,2.27,24.80484362,1.092724389,3.873931648,902.4095947,39.75372664,-31.99409453,36.3803783
PL573,3.41,31.71245291,0.929983956,3.881029233,1478.275678,43.35119291,-32.20425909,46.61499009
PL574,2.98,19.55218704,0.656113659,4.826258503,1027.286822,34.47271216,-32.92261895,52.54076284
AC605,2.67,91.67066998,3.433358426,-1.684343108,1032.985615,38.68859981,-29.6276283,11.26844186
AC606,2.98,72.18242608,2.422229063,-2.364168104,1063.746202,35.69618127,-30.22199687,14.73691395
AC608,3.34,78.0746944,2.3375657,-2.161483605,1161.593596,34.77825138,-29.99313305,14.87797813
AC612,3.08,95.54350946,3.102061996,-1.835971108,1196.078761,38.833726,-31.85887709,12.51868146
AC613,3.03,76.54273086,2.526162735,-1.991673858,1062.444376,35.06417083,-30.99270251,13.88040855
AC620,3.83,99.25652695,2.591554229,-2.580223022,1342.42241,35.05019346,-31.57749156,13.52477717
AC629,2.72,56.71354156,2.085056675,-2.77218815,949.4497002,34.90623898,-29.85293985,16.74114637
AC633,2.66,130.0993863,4.890954373,-1.941689349,1134.409786,42.64698444,-32.87558389,8.719562929
AC637,3.78,62.35907339,1.649710936,-2.122334663,1132.50961,29.9605717,-31.73250926,18.16110389
AC638,2.45,68.07274678,2.77847946,-2.294284176,838.6677325,34.23133602,-30.33314964,12.32016882
AC642,3.63,112.4088612,3.096662844,-2.431864505,1312.759572,36.16417555,-31.79317715,11.67843494
AC643,3.47,107.1461851,3.087786313,-1.759184456,1322.170522,38.10289688,-32.72846572,12.33987492
PL560,3.1,36.85094945,1.188740305,4.217658662,1338.567101,43.17958391,-35.29897161,36.32381583
PL564,3.8,51.04859749,1.343384145,5.400715424,1576.054237,41.47511151,-36.0008418,30.87360505
PL579,3.15,29.66359019,0.941701276,1.106178155,1349.846168,42.8522593,-35.17528332,45.50515158
PL583,3.32,34.21093999,1.03045,3.746436295,1443.321298,43.47353308,-36.10285574,42.18888164
PL584,3.69,35.99000883,0.975338993,3.126217351,1616.814062,43.81609924,-36.92972618,44.92396959
PL585,3.35,38.33112656,1.144212733,2.334807943,1442.796571,43.06855436,-36.03026286,37.64033829
PL588,2.25,21.39856758,0.951047448,6.650957965,1003.010106,44.57822695,-33.92820491,46.87276859
PL596,2.2,27.89145927,1.267793603,4.620355146,974.1941048,44.28155022,-34.32124686,34.92804358
PL598,2.48,22.38382923,0.902573759,4.085877472,1065.166546,42.95026395,-33.93060428,47.58643103
PL600,3.13,40.44639942,1.292217234,2.890603305,1382.467517,44.16829129,-35.88645366,34.18023698
PL603,2.83,25.90310967,0.915304229,2.488485559,1201.061518,42.44033632,-35.80599164,46.36746449
PL604,2.65,25.8830807,0.976720026,3.557912613,1174.645022,44.32622726,-34.6384549,45.38273617
SA614,1.57,14.87642949,0.94754328,4.103896069,674.0026257,42.93010355,-31.16237714,45.3067469
SA615,3.77,79.0412077,2.096583759,4.961529811,1556.178027,41.27793175,-35.4443579,19.68818636
SA616,2.5,31.93452148,1.277380859,1.358461809,950.9791946,38.03916778,-33.70291776,29.7790338
SA622,2.2,33.5811737,1.526416986,4.700443422,913.9153587,41.54160722,-32.56282908,27.21511068
SA625,2.48,31.74694373,1.280118699,3.713288277,1055.007919,42.54064191,-33.21981971,33.23179479
SA627,2.92,83.41204434,2.856576861,6.627482021,1485.315432,50.86696686,-35.37304867,17.80696594
